Draft_Year,Pick,Team,Player,College,Years,G,MP_Total,PTS_Total,TRB_Total,AST_Total,FGpct,TPpct,FTpct,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2019,30,MIL,Kevin Porter Jr.,USC,2,75,1974,913,260,268,.434,.322,.733,26.3,12.2,3.5,3.6,0.4,.009,-3.7,-0.9
2019,31,BRK,Nicolas Claxton,Georgia,2,40,649,230,168,43,.577,.167,.507,16.2,5.8,4.2,1.1,1.9,.139,0.1,0.3
2019,32,PHO,KZ Okpala,Stanford,2,38,415,80,65,17,.356,.245,.333,10.9,2.1,1.7,0.4,0.0,.001,-7.2,-0.6
2019,33,PHI,Carsen Edwards,Purdue,2,62,563,219,69,35,.379,.303,.714,9.1,3.5,1.1,0.6,0.4,.037,-4.5,-0.4
2019,34,PHI,Bruno Fernando,Maryland,2,86,911,279,266,58,.500,.128,.592,10.6,3.2,3.1,0.7,0.7,.035,-4.9,-0.6
2019,35,ATL,Didi Louzada,,,,,,,,,,,,,,,,,,
2019,36,CHO,Cody Martin,Nevada,2,100,1752,445,319,181,.435,.252,.620,17.5,4.5,3.2,1.8,2.1,.057,-2.2,-0.1
2019,37,DAL,Deividas Sirvydis,,1,16,49,17,11,2,.278,.286,.750,3.1,1.1,0.7,0.1,-0.1,-.071,-9.6,-0.1
2019,38,CHI,Daniel Gafford,Arkansas,2,90,1285,542,303,44,.698,,.591,14.3,6.0,3.4,0.5,4.7,.176,0.7,0.9
2019,39,NOP,Alen Smailagić,,2,26,190,76,39,16,.466,.278,.739,7.3,2.9,1.5,0.6,0.3,.073,-2.3,0.0
2019,40,SAC,Justin James,Wyoming,2,65,427,153,45,33,.435,.306,.462,6.6,2.4,0.7,0.5,0.1,.011,-3.4,-0.2
2019,41,GSW,Eric Paschall,Villanova,2,99,2330,1206,399,178,.495,.297,.757,23.5,12.2,4.0,1.8,2.9,.061,-2.9,-0.5
2019,42,PHI,Admiral Schofield,Tennessee,1,33,368,99,47,15,.380,.311,.667,11.2,3.0,1.4,0.5,0.1,.017,-5.5,-0.3
