player,college,Team,Year,Player_URL,HS
Andrei Kirilenko,,BRK,2014,https://www.basketball-reference.com/players/k/kirilan01.html,"Frunzenskaya Sport School in Saint Petersburg, Russia|"
Shaun Livingston,,BRK,2014,https://www.basketball-reference.com/players/l/livinsh01.html,"Peoria Central in Peoria, Illinois|"
Shaun Livingston,,BRK,2014,https://www.basketball-reference.com/players/l/livinsh01.html,"Peoria Central in Peoria, Illinois|"
Shaun Livingston,,BRK,2014,https://www.basketball-reference.com/players/l/livinsh01.html,"Peoria Central in Peoria, Illinois|"
Shaun Livingston,,BRK,2014,https://www.basketball-reference.com/players/l/livinsh01.html,"Peoria Central in Peoria, Illinois|"
Shaun Livingston,,BRK,2014,https://www.basketball-reference.com/players/l/livinsh01.html,"Peoria Central in Peoria, Illinois|"
Brook Lopez,Stanford,BRK,2014,https://www.basketball-reference.com/players/l/lopezbr01.html,"San Joaquin Memorial in Fresno, California|"
Brook Lopez,Stanford,BRK,2014,https://www.basketball-reference.com/players/l/lopezbr01.html,"San Joaquin Memorial in Fresno, California|"
Brook Lopez,Stanford,BRK,2014,https://www.basketball-reference.com/players/l/lopezbr01.html,"San Joaquin Memorial in Fresno, California|"
Paul Pierce,Kansas,BRK,2014,https://www.basketball-reference.com/players/p/piercpa01.html,"Inglewood in Inglewood, California|"
Paul Pierce,Kansas,BRK,2014,https://www.basketball-reference.com/players/p/piercpa01.html,"Inglewood in Inglewood, California|"
Paul Pierce,Kansas,BRK,2014,https://www.basketball-reference.com/players/p/piercpa01.html,"Inglewood in Inglewood, California|"
Paul Pierce,Kansas,BRK,2014,https://www.basketball-reference.com/players/p/piercpa01.html,"Inglewood in Inglewood, California|"
Paul Pierce,Kansas,BRK,2014,https://www.basketball-reference.com/players/p/piercpa01.html,"Inglewood in Inglewood, California|"
Mason Plumlee,Duke,BRK,2014,https://www.basketball-reference.com/players/p/plumlma01.html,"Christ School in Arden, North Carolina|"
Mason Plumlee,Duke,BRK,2014,https://www.basketball-reference.com/players/p/plumlma01.html,"Christ School in Arden, North Carolina|"
Mason Plumlee,Duke,BRK,2014,https://www.basketball-reference.com/players/p/plumlma01.html,"Christ School in Arden, North Carolina|"
Mason Plumlee,Duke,BRK,2014,https://www.basketball-reference.com/players/p/plumlma01.html,"Christ School in Arden, North Carolina|"
Mason Plumlee,Duke,BRK,2014,https://www.basketball-reference.com/players/p/plumlma01.html,"Christ School in Arden, North Carolina|"
